DEG MITF-X6 vs EV-SkMEL28,,,,,,,,,,,,,
target_id,ens_gene,ext_gene,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,LogFC
ENST00000558070,ENSG00000134160,TRPM1,2.20E-13,3.21E-11,-5.48377472,0.747485652,2.048740179,8.596784524,0.007406434,-0.001752881,1.110063167,1.110063167,-7.911409272
ENST00000323108,ENSG00000249481,SPATS1,2.98E-11,3.24E-09,-5.459368519,0.821284511,3.715897481,9.671929745,0.257748185,1.09126831,0.369061724,1.09126831,-7.87619859
ENST00000369356,ENSG00000178104,PDE4DIP,6.12E-12,7.41E-10,-5.4553372,0.793288768,2.737741099,9.428630972,0.327724418,0.752110393,0.930889721,0.930889721,-7.870382631
ENST00000573882,ENSG00000141527,CARD14,3.43E-06,0.000145677,-5.43781777,1.1710519,2.100798045,8.484690525,1.643091943,-1.60090703,1.099633162,1.099633162,-7.845107453
ENST00000321728,ENSG00000166501,PRKCB,9.57E-13,1.29E-10,-5.425139947,0.760192887,2.193788728,8.484653522,0.07807465,0.009973311,1.077711802,1.077711802,-7.826817233
ENST00000462745,ENSG00000196549,MME,9.26E-09,6.58E-07,-5.395378327,0.939336507,2.004541983,9.529604781,0.646724047,0.7677791,1.117982098,1.117982098,-7.78388032
ENST00000446688,ENSG00000079308,TNS1,3.07E-12,3.90E-10,-5.335593173,0.765016913,3.449077707,9.137159933,0.162947547,1.007554207,0.524398168,1.007554207,-7.697628633
ENST00000613740,ENSG00000145242,EPHA5,2.39E-12,3.09E-10,-5.310459627,0.757611708,1.962082633,8.111043931,0.023102414,0.039455021,1.124848585,1.124848585,-7.661368616
ENST00000306317,ENSG00000168481,LGI3,7.50E-12,8.92E-10,-5.275465107,0.770381494,1.944585373,7.997756554,0.059492988,-0.005621041,1.127482305,1.127482305,-7.610882229
ENST00000477457,ENSG00000115648,MLPH,4.86E-12,6.01E-10,-5.220239194,0.755510066,2.5210525,8.054981823,0.148678862,0.165167516,0.992912056,0.992912056,-7.531208132
ENST00000405010,ENSG00000048052,HDAC9,0.000110784,0.00316437,-5.17816901,1.33952677,3.225170269,10.73697889,0.557300494,3.031363442,0.676129476,3.031363442,-7.470513726
ENST00000296522,ENSG00000164120,HPGD,9.31E-11,9.29E-09,-5.164349978,0.797250816,1.889027809,7.706544668,0.136062856,-0.03526431,1.135154871,1.135154871,-7.450577092
ENST00000359331,ENSG00000026751,SLAMF7,1.30E-10,1.27E-08,-5.158474323,0.802657565,1.886089981,7.671169335,0.15298503,-0.07323992,1.135533303,1.135533303,-7.442100319
ENST00000368042,ENSG00000026751,SLAMF7,5.33E-08,3.26E-06,-5.120736876,0.941344061,1.867230962,7.574004929,0.634355173,-0.538664806,1.137902109,1.137902109,-7.387656727
ENST00000481227,ENSG00000178104,PDE4DIP,7.70E-11,7.79E-09,-5.100114618,0.783879096,2.407623359,7.95487973,0.208138004,0.402165308,1.020794869,1.020794869,-7.357905118
ENST00000289575,ENSG00000137491,SLCO2B1,5.73E-08,3.47E-06,-5.053566999,0.931192782,1.833636319,7.422855853,0.592362625,-0.445210599,1.141877371,1.141877371,-7.290751144
ENST00000409874,ENSG00000156414,TDRD9,4.64E-11,4.83E-09,-5.053064236,0.767707719,1.833384937,7.347718314,0.036844279,0.024341029,1.141906006,1.141906006,-7.290025811
ENST00000464123,ENSG00000115648,MLPH,6.54E-11,6.67E-09,-5.005074951,0.766386187,1.809390295,7.16162396,0.030127117,-0.025157585,1.144568457,1.144568457,-7.220791954
ENST00000428693,ENSG00000182670,TTC3,8.82E-07,4.23E-05,-4.990663223,1.015119504,3.514652066,8.882721441,0.320423843,1.74051137,0.482559,1.74051137,-7.200000239
ENST00000472871,ENSG00000080166,DCT,2.67E-17,5.74E-15,-4.973331185,0.587848915,3.841753225,7.3494971,0.379408118,-0.049669191,0.311724575,0.311724575,-7.17499541
ENST00000429277,ENSG00000122367,LDB3,5.07E-07,2.56E-05,-4.922565223,0.979866019,2.63097625,8.408675714,0.956473517,0.776432027,0.963801313,0.963801313,-7.101755658
ENST00000511294,ENSG00000145242,EPHA5,1.16E-09,9.54E-08,-4.904292599,0.80584611,2.026546491,7.059012047,0.184633655,0.033518437,1.114142251,1.114142251,-7.075393852
ENST00000611005,ENSG00000276482,SLC12A7,2.72E-07,1.44E-05,-4.900271621,0.952965433,1.948419341,7.221846486,0.689371661,-0.268104746,1.126914571,1.126914571,-7.069592811
ENST00000381174,ENSG00000124343,XG,1.23E-10,1.21E-08,-4.899711246,0.761391122,1.756708442,6.898982763,0.00946144,0.036961687,1.14997144,1.14997144,-7.068784361
ENST00000512097,ENSG00000080709,KCNN2,1.71E-09,1.36E-07,-4.892253542,0.812189703,1.75297959,7.000920341,0.168970733,0.020721426,1.150333493,1.150333493,-7.058025176
ENST00000446125,ENSG00000080166,DCT,7.92E-13,1.08E-10,-4.8900481,0.682722028,4.274251713,6.959661997,0.746045781,-0.597296923,0.186172955,0.186172955,-7.054843398
ENST00000335625,ENSG00000186297,GABRA5,8.82E-09,6.30E-07,-4.86518433,0.84583862,1.739444984,6.772749087,0.279258328,-0.267723914,1.151627613,1.151627613,-7.018972584
ENST00000430329,ENSG00000232242,ZYG11AP1,1.75E-10,1.67E-08,-4.860807546,0.761709104,1.737256593,6.828296532,0.008567501,0.081961785,1.151834016,1.151834016,-7.012658225
ENST00000338230,ENSG00000189190,ZNF600,1.52E-10,1.47E-08,-4.843157463,0.75636299,2.31482202,6.916678354,0.099872762,0.150860582,1.044297183,1.044297183,-6.987194553
ENST00000564887,ENSG00000102900,NUP93,2.69E-05,0.000911117,-4.835973634,1.151802194,3.707550327,8.956151645,0.667492814,1.985803775,0.373253801,1.985803775,-6.976830487
ENST00000354638,ENSG00000104044,OCA2,0.000109241,0.003129029,-4.832637067,1.249036068,3.784157038,9.347122176,0.185865195,2.934317002,0.33658683,2.934317002,-6.972016842
ENST00000309263,ENSG00000175356,SCUBE2,3.56E-10,3.20E-08,-4.806491153,0.766311609,2.237825495,7.159121669,0.108739867,0.542783014,1.065727098,1.065727098,-6.934296286
ENST00000548285,ENSG00000129521,EGLN3,3.64E-10,3.27E-08,-4.796397542,0.765110601,1.70505159,6.640295038,0.01614843,0.062385989,1.154640034,1.154640034,-6.919734293
ENST00000617968,ENSG00000273936,TNFRSF14,2.74E-09,2.10E-07,-4.780187778,0.803877113,2.745860958,7.163544476,0.364303552,0.37643327,0.928133272,0.928133272,-6.896348564
ENST00000475523,ENSG00000157873,TNFRSF14,2.74E-09,2.10E-07,-4.780187778,0.803877113,2.745860958,7.163544476,0.364303552,0.37643327,0.928133272,0.928133272,-6.896348564
ENST00000617214,ENSG00000273645,KBTBD11,1.12E-21,3.56E-19,-4.778131221,0.499553533,3.767796752,6.809072355,0.155032848,0.178705578,0.344074617,0.344074617,-6.89338158
ENST00000457749,ENSG00000198538,ZNF28,1.93E-09,1.52E-07,-4.755697912,0.792146021,1.684701775,6.577080613,0.098829082,0.03554409,1.156161557,1.156161557,-6.861017178
ENST00000534098,ENSG00000085831,TTC39A,2.71E-10,2.47E-08,-4.721231435,0.747671967,3.09102882,6.892584934,0.353725537,0.257614799,0.764301202,0.764301202,-6.811292596
ENST00000395097,ENSG00000119508,NR4A3,4.16E-08,2.60E-06,-4.701714698,0.857374845,2.929541821,6.750130489,0.616739245,-0.110294041,0.853444004,0.853444004,-6.783135916
ENST00000360490,ENSG00000196549,MME,2.94E-06,0.00012664,-4.662521831,0.997366082,1.991527481,7.037333468,0.869317292,0.094535148,1.120160913,1.120160913,-6.726592598
ENST00000480178,ENSG00000101850,GPR143,2.36E-09,1.84E-07,-4.647534109,0.778405002,1.898167246,6.343549794,0.077867866,0.123082463,1.133960828,1.133960828,-6.704969901
ENST00000595607,ENSG00000178150,ZNF114,6.44E-10,5.52E-08,-4.64614264,0.751883463,2.127290925,6.69354347,0.036823217,0.576763688,1.093834267,1.093834267,-6.702962437
ENST00000398806,ENSG00000056998,GYG2,3.53E-07,1.84E-05,-4.619103926,0.906995328,2.058480813,6.596665893,0.537075809,0.046994041,1.108205239,1.108205239,-6.663953844
ENST00000510835,ENSG00000164120,HPGD,3.33E-09,2.52E-07,-4.616929921,0.78064331,1.792786812,6.2426811,0.072474863,0.105305789,1.146333093,1.146333093,-6.660817421
ENST00000392055,ENSG00000153823,PID1,4.04E-08,2.53E-06,-4.600827257,0.838170557,2.120987213,6.509250302,0.309814546,0.228440322,1.095245219,1.095245219,-6.637586204
ENST00000381471,ENSG00000120215,MLANA,7.10E-15,1.20E-12,-4.568208014,0.586972584,4.747261491,6.51975134,0.587121252,0.063080492,0.101952376,0.101952376,-6.590526614
ENST00000626465,ENSG00000273936,TNFRSF14,2.74E-12,3.50E-10,-4.565761865,0.653154422,3.050163443,6.450004844,0.064108642,0.512169874,0.789112755,0.789112755,-6.586997569
ENST00000496064,ENSG00000157873,TNFRSF14,2.74E-12,3.50E-10,-4.565761865,0.653154422,3.050163443,6.450004844,0.064108642,0.512169874,0.789112755,0.789112755,-6.586997569
ENST00000519578,ENSG00000104299,INTS9,2.61E-09,2.01E-07,-4.56519089,0.766711084,1.589448265,6.004554928,0.014891256,0.043433539,1.160800517,1.160800517,-6.586173828
ENST00000465778,ENSG00000234487,HLA-F,4.70E-06,0.000193527,-4.560090863,0.996156335,4.431439408,7.642398099,0.429254331,1.555400559,0.153285882,1.555400559,-6.578816049
ENST00000453258,ENSG00000138185,ENTPD1,2.83E-11,3.09E-09,-4.556056911,0.684573827,3.109359621,6.482542272,0.184503754,0.459244037,0.752778896,0.752778896,-6.57299629
ENST00000412248,ENSG00000115339,GALNT3,3.06E-07,1.61E-05,-4.550249335,0.888736437,2.439599315,7.269681069,0.291924743,1.287780166,1.012969825,1.287780166,-6.564617735
ENST00000481828,ENSG00000196549,MME,5.50E-09,4.06E-07,-4.514195582,0.774132931,1.56395061,5.950552813,0.037184154,0.112473543,1.161379436,1.161379436,-6.512603199
ENST00000376896,ENSG00000198963,RORB,3.01E-09,2.29E-07,-4.510421043,0.760493956,2.05379211,6.229351623,0.047597315,0.438680251,1.109104799,1.109104799,-6.507157693
ENST00000533768,ENSG00000178104,PDE4DIP,4.63E-08,2.86E-06,-4.49022527,0.821623507,1.551965454,5.903903242,0.188571066,-0.021391608,1.161559309,1.161559309,-6.478021372
ENST00000367459,ENSG00000090104,RGS1,4.94E-09,3.65E-07,-4.490064744,0.767636003,1.551885192,5.840687971,0.016969748,0.076939082,1.161560317,1.161560317,-6.477789783
ENST00000264773,ENSG00000080709,KCNN2,2.52E-13,3.66E-11,-4.477277055,0.611851413,3.296530674,6.332356757,0.121489215,0.58425706,0.627235087,0.627235087,-6.459341059
ENST00000415753,ENSG00000115648,MLPH,1.69E-09,1.35E-07,-4.461063166,0.74042048,2.778928766,6.625834141,0.16672615,0.929718825,0.916480158,0.929718825,-6.435949378
ENST00000483165,ENSG00000002822,MAD1L1,6.82E-09,4.94E-07,-4.456807333,0.769028512,1.535256486,5.711857105,0.021096073,0.021693348,1.161713631,1.161713631,-6.429809512
ENST00000630160,ENSG00000273936,TNFRSF14,2.47E-08,1.60E-06,-4.451145585,0.798326556,3.703095898,6.753328216,0.032835769,1.241814811,0.375510315,1.241814811,-6.421641342
ENST00000463471,ENSG00000157873,TNFRSF14,2.47E-08,1.60E-06,-4.451145585,0.798326556,3.703095898,6.753328216,0.032835769,1.241814811,0.375510315,1.241814811,-6.421641342
ENST00000264867,ENSG00000109819,PPARGC1A,7.50E-11,7.60E-09,-4.443037881,0.682457652,3.318030839,6.438593225,0.24206438,0.689432513,0.612482758,0.689432513,-6.409944405
ENST00000303531,ENSG00000166501,PRKCB,4.73E-18,1.11E-15,-4.442320665,0.512982429,4.33238491,6.089462493,0.097134898,0.429167047,0.173441019,0.429167047,-6.408909682
ENST00000451024,ENSG00000229544,NKX1-2,7.13E-09,5.16E-07,-4.437671433,0.766739101,2.288954166,5.789848667,0.124527691,0.065986504,1.051250006,1.051250006,-6.402202264
ENST00000454962,ENSG00000137491,SLCO2B1,5.44E-07,2.74E-05,-4.425222146,0.883243361,1.519463892,5.714236203,0.398479645,-0.259401089,1.161758026,1.161758026,-6.38424175
ENST00000621293,ENSG00000182612,TSPAN10,1.07E-07,6.13E-06,-4.420921047,0.831940633,1.884820698,5.931927625,0.248554428,0.157180165,1.135696004,1.135696004,-6.378036581
ENST00000316950,ENSG00000196437,ZNF569,2.52E-06,0.000110208,-4.418645781,0.938882262,1.853046881,5.777808179,0.623382495,-0.3907498,1.13961731,1.13961731,-6.374754068
ENST00000326016,ENSG00000136002,ARHGEF4,2.20E-06,9.72E-05,-4.418317964,0.933314213,1.516011801,5.61857052,0.580396055,-0.532574992,1.161754786,1.161754786,-6.374281128
ENST00000619380,NA,NA,4.16E-06,0.000173372,-4.416308533,0.959402749,2.245420411,6.630130165,0.777357319,0.456534186,1.06354995,1.06354995,-6.371382135
ENST00000568218,ENSG00000260211,AC139426.1,1.76E-08,1.18E-06,-4.413368798,0.7832706,1.513537219,5.5726234,0.065276035,-0.056490119,1.161749631,1.161749631,-6.367140996
ENST00000371205,ENSG00000138185,ENTPD1,2.05E-07,1.12E-05,-4.406625115,0.848270946,2.113865498,5.77388458,0.342311496,-0.078894455,1.0968157,1.0968157,-6.357411924
ENST00000485956,ENSG00000115648,MLPH,1.73E-08,1.17E-06,-4.400040994,0.780512651,2.389463421,6.05017806,0.193126442,0.411961045,1.025273556,1.025273556,-6.347913052
ENST00000397795,ENSG00000134160,TRPM1,5.04E-08,3.09E-06,-4.390868964,0.805686844,1.502287301,5.545803641,0.136565994,-0.093038498,1.161696589,1.161696589,-6.334680618
ENST00000426088,ENSG00000106772,PRUNE2,2.65E-05,0.000903428,-4.390365707,1.044885431,2.278229377,5.922446744,1.129365441,-0.64494792,1.054205688,1.054205688,-6.333954573
ENST00000455470,ENSG00000151835,SACS,1.71E-05,0.000609813,-4.386594008,1.02020675,2.33197607,6.9904005,1.041836977,0.699561277,1.039806649,1.039806649,-6.328513165
ENST00000330847,ENSG00000119508,NR4A3,2.14E-19,5.63E-17,-4.3846145,0.486873696,5.204275314,5.734729262,0.415893021,-0.133656985,0.058198971,0.058198971,-6.32565734
ENST00000376717,ENSG00000106772,PRUNE2,5.13E-06,0.000209233,-4.379712677,0.96055789,2.243514886,6.774073834,0.781243636,0.727881458,1.064099284,1.064099284,-6.31858551
ENST00000434505,ENSG00000223572,CKMT1A,6.06E-09,4.42E-07,-4.372305821,0.751893753,2.835463774,5.957064489,0.235848512,0.341707329,0.89483992,0.89483992,-6.307899682
ENST00000531299,ENSG00000129158,SERGEF,1.29E-08,8.96E-07,-4.361542142,0.76692486,2.210261461,6.332296457,0.102992781,0.9436698,1.073354701,1.073354701,-6.292370986
ENST00000506468,ENSG00000249481,SPATS1,3.65E-08,2.32E-06,-4.357956652,0.791346144,1.485831145,5.667272869,0.090924762,0.190298193,1.161532677,1.161532677,-6.287198221
ENST00000578554,ENSG00000141337,ARSG,2.93E-08,1.89E-06,-4.356160721,0.785488399,2.772690283,6.479453821,0.084305964,1.149678086,0.918732707,1.149678086,-6.284607242
ENST00000611590,ENSG00000182612,TSPAN10,1.23E-06,5.68E-05,-4.343584981,0.895368875,1.89756917,5.545401184,0.469331095,-0.288606544,1.13403975,1.13403975,-6.266464297
ENST00000305031,ENSG00000198108,CHSY3,2.47E-08,1.61E-06,-4.310861477,0.773201184,2.146825943,5.602358466,0.106344759,0.235231226,1.089335382,1.089335382,-6.219254292
ENST00000263666,ENSG00000121440,PDZRN3,7.19E-07,3.50E-05,-4.300205805,0.867641239,4.031138149,6.573879395,0.258875971,1.246726668,0.246326868,1.246726668,-6.203881417
ENST00000372141,ENSG00000185737,NRG3,7.60E-07,3.68E-05,-4.296781057,0.868850895,2.238734419,5.715800804,0.444335475,0.069989644,1.065468281,1.065468281,-6.198940554
ENST00000308831,ENSG00000173156,RHOD,2.83E-08,1.82E-06,-4.270027925,0.769111216,1.441866782,5.263542602,0.022456894,0.040629981,1.160607231,1.160607231,-6.160343969
ENST00000243639,ENSG00000204604,ZNF468,2.66E-08,1.72E-06,-4.268716533,0.767423358,2.918189844,5.358449241,0.319056293,-0.141512457,0.858820928,0.858820928,-6.15845203
ENST00000410032,ENSG00000115648,MLPH,5.88E-05,0.001820906,-4.267169931,1.062128219,1.440437785,5.240553471,1.095667133,-1.051267824,1.160565573,1.160565573,-6.156220757
ENST00000259698,ENSG00000111913,RIPOR2,1.54E-06,7.01E-05,-4.262060754,0.886768063,2.933686709,6.538087845,0.435831722,1.136883473,0.851453637,1.136883473,-6.148849778
ENST00000485207,ENSG00000160256,FAM207A,2.65E-07,1.41E-05,-4.2572755,0.827142874,1.758319485,5.565882179,0.218516417,0.233547898,1.149814253,1.149814253,-6.14194612
ENST00000381476,ENSG00000120215,MLANA,1.56E-26,7.09E-24,-4.245828874,0.398284583,6.30237819,5.422527568,0.029068054,0.288193164,0.0272396,0.288193164,-6.125432141
ENST00000381477,ENSG00000120215,MLANA,8.93E-53,1.95E-49,-4.241153316,0.277382332,6.597380543,5.271150629,0.013831954,0.140049962,0.024416965,0.140049962,-6.118686741
ENST00000498338,ENSG00000184381,PLA2G6,7.62E-08,4.54E-06,-4.240930298,0.788888289,2.19104032,5.51471184,0.166265105,0.272402111,1.078424361,1.078424361,-6.118364994
ENST00000254528,ENSG00000132205,EMILIN2,1.82E-230,6.17E-226,-4.23695502,0.130719344,6.668572434,5.149543253,0.010315056,0.013556124,0.023860038,0.023860038,-6.112629885
ENST00000525630,ENSG00000178104,PDE4DIP,4.50E-07,2.29E-05,-4.22546091,0.837309994,1.419583274,5.122374077,0.242298839,-0.217702382,1.159877213,1.159877213,-6.096047399
ENST00000510044,ENSG00000159685,CHCHD6,3.04E-08,1.95E-06,-4.223097572,0.762396236,3.151140258,6.09201178,0.125270516,1.037225526,0.72577602,1.037225526,-6.092637826
ENST00000422695,ENSG00000115648,MLPH,1.79E-07,9.84E-06,-4.215650888,0.807531412,1.702863275,5.251810055,0.149401038,0.053806557,1.154812926,1.154812926,-6.081894539
ENST00000469619,ENSG00000115648,MLPH,7.08E-07,3.46E-05,-4.212311227,0.849415104,2.131132151,5.444874134,0.350047234,0.087783965,1.092964805,1.092964805,-6.07707643
ENST00000618101,ENSG00000119508,NR4A3,1.44E-05,0.000524813,-4.209947471,0.970582853,4.043338623,6.678812616,0.426012593,1.458049557,0.242954467,1.458049557,-6.073666253
ENST00000396396,ENSG00000154330,PGM5,9.47E-08,5.51E-06,-4.208902966,0.788670615,1.411304302,5.170206685,0.084439857,0.042513217,1.159562822,1.159562822,-6.072159352
ENST00000410045,ENSG00000198130,HIBCH,1.56E-12,2.06E-10,-4.20253524,0.594517982,4.338436748,5.190678987,0.534749591,-0.366058253,0.17215367,0.17215367,-6.062972671
ENST00000355300,ENSG00000169783,LINGO1,3.89E-08,2.46E-06,-4.19653427,0.763597598,2.471392568,5.895944382,0.160961617,0.847340201,1.005200966,1.005200966,-6.054315108
ENST00000416372,ENSG00000040608,RTN4R,5.27E-06,0.000214792,-4.187587229,0.919608773,2.928180778,6.443632101,0.837266191,0.835008993,0.8540944,0.8540944,-6.041407265
ENST00000341752,ENSG00000185046,ANKS1B,7.52E-07,3.65E-05,-4.169239542,0.842702525,1.391472591,5.064703259,0.261578145,-0.146943796,1.158716947,1.158716947,-6.014937166
ENST00000432539,ENSG00000096155,BAG6,0.000960204,0.020292858,-4.168648575,1.262486695,1.394323249,4.998471112,2.02889882,-1.989892836,1.158846489,1.158846489,-6.014084581
ENST00000392701,ENSG00000115339,GALNT3,3.40E-05,0.001124434,-4.141522537,0.999232654,4.305369119,6.612286942,0.232549755,1.764382036,0.179275747,1.764382036,-5.974950007
ENST00000436544,ENSG00000163803,PLB1,1.14E-49,2.04E-46,-4.109068474,0.277328101,4.922591613,4.955973993,0.045145453,0.108676298,0.081371316,0.108676298,-5.928128722
ENST00000373640,ENSG00000204128,C2orf72,4.71E-05,0.001498668,-4.095470198,1.006416379,3.095521227,6.528605631,0.119160923,1.906586933,0.761497983,1.906586933,-5.90851057
ENST00000432475,ENSG00000115648,MLPH,1.32E-07,7.40E-06,-4.093737515,0.775816593,1.353721577,4.838269383,0.047025723,0.011392942,1.15675705,1.15675705,-5.906010839
ENST00000354839,ENSG00000145242,EPHA5,1.84E-05,0.000650315,-4.08532887,0.953616597,1.349517255,5.368195197,0.66225791,0.037332494,1.156511318,1.156511318,-5.893879737
