,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,+/-(-log10),signature
FAXC,961.9844313,3.371523139,0.793279646,4.250106702,2.14E-05,0.000435458,3.361053829,proliferative
HES6,2615.191858,3.377932686,0.914526081,3.693642812,0.000221064,0.003314631,2.479564857,proliferative
KLF15,547.2102728,3.378825284,0.846431193,3.991848732,6.56E-05,0.001147765,2.940147023,proliferative
DGCR5,248.25355,3.37954657,1.178056898,2.868746471,0.00412102,0.038000205,1.420214064,proliferative
AC005786.5,25.72154965,3.380530489,1.211001035,2.791517424,0.005246153,0.045922314,1.337976239,proliferative
INPP5F,5450.050356,3.383066855,0.771962104,4.38242608,1.17E-05,0.000257292,3.589573354,proliferative
SGK1,12487.84129,3.383214132,0.499632497,6.771405281,1.28E-11,1.16E-09,8.936611716,proliferative
NPAS1,489.0338193,3.402587062,1.059061734,3.212831654,0.001314333,0.015029586,1.823052992,proliferative
CYGB,5450.259747,3.40472689,1.043611648,3.262446234,0.001104551,0.012952426,1.887648872,proliferative
PIR,3981.202585,3.408030827,0.619686673,5.499603227,3.81E-08,1.47E-06,5.831511706,proliferative
CERS1,245.9436164,3.410622239,0.981396616,3.475274098,0.000510332,0.006784409,2.168488008,proliferative
AATK,592.6731964,3.411600155,0.959776048,3.554579386,0.000378584,0.005240314,2.280642721,proliferative
SESN3,779.5068523,3.41469039,0.832408219,4.102182451,4.09E-05,0.000764999,3.116339187,proliferative
CDK5R1,2175.649057,3.419060654,0.619251121,5.521282946,3.37E-08,1.32E-06,5.879560025,proliferative
SCUBE2,198.9447324,3.42421227,1.033137425,3.314382178,0.000918459,0.011137993,1.953193067,proliferative
SLC17A9,38.94615772,3.427966961,1.007069112,3.403904381,0.0006643,0.008425765,2.074390672,proliferative
SLC16A10,183.586073,3.428437854,0.799515926,4.288142039,1.80E-05,0.000377031,3.42362351,proliferative
TMTC2,3269.733775,3.447106872,0.805731042,4.278235158,1.88E-05,0.000391568,3.407193073,proliferative
KIAA1598,3855.146102,3.456284981,0.673415864,5.132467417,2.86E-07,9.10E-06,5.040817939,proliferative
RASSF2,509.726763,3.459539893,1.017347615,3.400548487,0.000672508,0.008477967,2.071708281,proliferative
MAST1,347.5884746,3.463329021,1.053255386,3.288213919,0.001008252,0.012019899,1.920099191,proliferative
RP11-80F22.9,129.1351519,3.463812381,0.836388779,4.141390306,3.45E-05,0.000660142,3.180362687,proliferative
TBC1D7,5579.117073,3.474348797,0.572771461,6.065855285,1.31E-09,7.09E-08,7.149146559,proliferative
PRKCH,618.4800992,3.480634076,0.736482524,4.726023989,2.29E-06,6.00E-05,4.221550229,proliferative
PDE3B,885.8225667,3.494179136,0.693713577,5.03691906,4.73E-07,1.43E-05,4.845487179,proliferative
C19orf71,2525.710784,3.500103113,0.771011394,4.539625664,5.64E-06,0.000134708,3.87060603,proliferative
SLAIN1,620.4657995,3.510597691,0.967199776,3.629651058,0.000283805,0.004097202,2.387512578,proliferative
GJA3,919.9482221,3.519628748,0.983556319,3.578472,0.000345609,0.004832304,2.315845733,proliferative
FAM53B,4590.453857,3.525270585,0.734885903,4.797031173,1.61E-06,4.34E-05,4.362310739,proliferative
RAB11FIP4,1271.622957,3.526874477,0.716522424,4.922210885,8.56E-07,2.47E-05,4.607674821,proliferative
BAI1,140.0404475,3.52765017,1.191533931,2.960595648,0.003070448,0.03012286,1.52110379,proliferative
C11orf96,411.7870103,3.529474621,0.838048927,4.211537664,2.54E-05,0.000506869,3.295104503,proliferative
SLC27A3,2973.78322,3.53558734,0.868312651,4.071790658,4.67E-05,0.000860383,3.065308266,proliferative
FGF13,316.3524337,3.537214711,1.027367405,3.442989037,0.000575323,0.00749608,2.125165785,proliferative
BRSK2,166.5622816,3.554686991,1.00394116,3.540732399,0.000399018,0.005486498,2.260704755,proliferative
EGLN3,179.2047439,3.596205342,1.077135261,3.338675718,0.000841788,0.01037009,1.984217457,proliferative
