,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,+/-(-log10),signature
DKK1,1229.224728,-3.782770295,1.279865777,-2.955599222,0.003120623,0.03051876,-1.515433112,invasive
FAM167A,921.9312316,-3.775566029,1.090933281,-3.460858783,0.000538455,0.007103318,-2.148538759,invasive
PCDHGB4,55.76309732,-3.756160541,1.250974827,-3.002586831,0.002676956,0.027074502,-1.567439531,invasive
SAMD12,71.68090491,-3.746811387,1.265304086,-2.961194411,0.003064484,0.030088105,-1.521605171,invasive
B3GNT9,321.0924197,-3.743223198,0.694315303,-5.391243982,7.00E-08,2.58E-06,-5.588236997,invasive
IFI44,678.4636955,-3.728904761,1.139647951,-3.271979524,0.001067973,0.012594787,-1.899809166,invasive
DPYD,698.5921349,-3.713991023,1.118846464,-3.31948229,0.000901845,0.010968627,-1.959847745,invasive
TLE4,591.5386942,-3.713114266,0.978824021,-3.793444159,0.000148572,0.002343592,-2.63011796,invasive
IL20RB,122.2391055,-3.698868536,0.951202636,-3.888623093,0.000100815,0.001665769,-2.77838515,invasive
FAM20C,2487.908978,-3.672503913,0.599173872,-6.129279136,8.83E-10,4.99E-08,-7.302098436,invasive
PDGFB,15.30307291,-3.665867785,1.193403871,-3.071774672,0.002127903,0.022377185,-1.650194544,invasive
SYT1,519.4892104,-3.659616924,1.059953511,-3.452620219,0.00055517,0.007279286,-2.137911196,invasive
C12orf75,1121.77021,-3.647767723,1.094384484,-3.333168348,0.00085863,0.010535802,-1.977332403,invasive
SCG5,57.47293171,-3.645739857,0.861925941,-4.229759985,2.34E-05,0.000471815,-3.326228692,invasive
EPHA2,3487.353698,-3.638136748,0.804388912,-4.522857904,6.10E-06,0.000144318,-3.840679074,invasive
ADAM8,219.8497634,-3.635289187,1.007606332,-3.607846708,0.000308749,0.004411204,-2.355442835,invasive
AMPD3,112.5353377,-3.628603912,0.89501325,-4.054246027,5.03E-05,0.00091401,-3.039049273,invasive
LTBP2,630.6762664,-3.617249359,0.958789811,-3.772724031,0.000161475,0.002515204,-2.599426838,invasive
MAGEC2,520.4715859,-3.614744441,1.246376712,-2.900202167,0.00372922,0.035157125,-1.453986646,invasive
EPS8L2,185.8668004,-3.584209677,1.061326313,-3.377104319,0.000732533,0.009178811,-2.037213572,invasive
RYR2,118.7195468,-3.584101101,1.230914812,-2.91173773,0.003594243,0.034115932,-1.467042761,invasive
PCDHB3,79.84112619,-3.583549811,1.283452221,-2.792117816,0.005236429,0.045901839,-1.338169915,invasive
NNMT,1087.901712,-3.582814442,1.247486385,-2.872026889,0.004078483,0.037635886,-1.42439785,invasive
VASN,469.4703123,-3.575223755,0.90102552,-3.967949493,7.25E-05,0.00124633,-2.904366948,invasive
SPEG,993.3878856,-3.57264422,0.983024179,-3.634340126,0.000278693,0.004028086,-2.39490125,invasive
LPHN2,446.9035277,-3.568932109,1.222804238,-2.918645518,0.003515557,0.033570178,-1.474046353,invasive
PCDHGA11,100.7336514,-3.566305409,1.152414655,-3.094637329,0.001970537,0.020952757,-1.678758818,invasive
PLAUR,1442.105186,-3.562739677,0.814009903,-4.376776822,1.20E-05,0.000262659,-3.580607051,invasive
ITGB4,198.2630806,-3.546862952,0.906313773,-3.913504415,9.10E-05,0.001519772,-2.81822158,invasive
ITGA2,2368.860188,-3.542519802,0.927888788,-3.817828006,0.000134632,0.002150993,-2.667361048,invasive
CXCL3,81.3064997,-3.540131844,1.051054379,-3.368171919,0.000756684,0.00942443,-2.025744885,invasive
ADAMTS4,442.675045,-3.51434494,0.364246646,-9.648256149,5.00E-22,2.07E-19,-18.68369137,invasive
PRDM1,85.57525351,-3.500290861,1.133571409,-3.087843283,0.002016148,0.021346435,-1.670674638,invasive
STEAP2,160.2181524,-3.48994573,1.234006128,-2.828142948,0.00468189,0.041927872,-1.377497174,invasive
BASP1,507.6881264,-3.460256304,1.248695345,-2.771097305,0.005586773,0.04842649,-1.314917006,invasive
SPRED3,97.56704164,-3.456754171,0.908342916,-3.805560775,0.000141483,0.002246024,-2.648585555,invasive
S100A16,833.649912,-3.453234038,1.112246272,-3.104738693,0.001904472,0.020389824,-1.690586514,invasive
TDRD9,92.1910081,-3.45290018,0.618627363,-5.581551003,2.38E-08,9.59E-07,-6.018211842,invasive
MYLK,1503.613439,-3.437156206,0.500251373,-6.870858112,6.38E-12,6.15E-10,-9.211183254,invasive
COL6A1,17622.0052,-3.434120399,0.979437338,-3.506217566,0.000454524,0.006134499,-2.212220929,invasive
ANGPTL4,82.26251428,-3.433029864,1.132606887,-3.031086868,0.002436751,0.025073526,-1.600784597,invasive
PCDH10,84.63984913,-3.422488516,1.060699569,-3.226633269,0.001252559,0.014416025,-1.841154481,invasive
TFPI,337.2430107,-3.395362695,1.043308263,-3.254419442,0.001136244,0.013273976,-1.87699897,invasive
PDZD2,49.86556654,-3.391076787,1.071238312,-3.16556713,0.001547809,0.017177921,-1.765029409,invasive
RP11-575F12.2,130.9250895,-3.386986231,1.040530636,-3.255056711,0.001133697,0.013256686,-1.877565042,invasive
SUSD1,241.1006755,-3.386308599,1.114691189,-3.037889445,0.002382413,0.024595846,-1.609138234,invasive
HTR7,244.9877002,-3.385145352,1.181591646,-2.864902916,0.004171371,0.038294049,-1.41686871,invasive
TPM2,3123.151473,-3.38310766,0.694112893,-4.874002042,1.09E-06,3.05E-05,-4.516005792,invasive
CPE,215.6216721,-3.366407773,1.215859677,-2.768746951,0.005627232,0.048709259,-1.312388475,invasive
FLNB,6270.193597,-3.366280399,0.597298356,-5.635844075,1.74E-08,7.27E-07,-6.138689634,invasive
ZNF415,59.680041,-3.362746937,1.143419684,-2.940955962,0.00327201,0.031724719,-1.498602211,invasive
GPX1P1,117.2555919,-3.337392815,1.078868311,-3.093420004,0.001978639,0.021002973,-1.677719226,invasive
SYBU,119.5994027,-3.336702565,1.206227394,-2.766230134,0.00567085,0.048916492,-1.310544695,invasive
C1R,917.6981946,-3.329956112,1.117957575,-2.97860687,0.00289562,0.028886485,-1.539305299,invasive
ERRFI1,1976.244252,-3.32677027,0.464163104,-7.167244103,7.65E-13,8.81E-11,-10.05516337,invasive
IGFBP3,2696.969644,-3.322086841,1.182249617,-2.809970747,0.0049546,0.043864446,-1.357887354,invasive
DPF3,85.55446277,-3.315951542,1.176684742,-2.818045841,0.004831691,0.042959886,-1.366936881,invasive
ZNF185,627.2737351,-3.307436806,0.759114381,-4.356967659,1.32E-05,0.00028558,-3.544272546,invasive
CXCL1,700.8468179,-3.291435141,1.116560869,-2.947833147,0.003200097,0.031148951,-1.506556579,invasive
PIP5KL1,49.88800539,-3.28631015,0.928518074,-3.539306603,0.00040118,0.005510124,-2.258838603,invasive
GPR176,1005.396231,-3.277057607,0.958708395,-3.418200595,0.000630366,0.008086382,-2.092245762,invasive
TRABD2A,219.5617585,-3.26098392,0.9922852,-3.286337355,0.001014994,0.012073083,-1.918181814,invasive
NR2F1-AS1,261.7045164,-3.256336997,0.994576861,-3.274092857,0.001060018,0.012524734,-1.902231486,invasive
IFI6,3486.905017,-3.24900462,0.703482328,-4.618459468,3.87E-06,9.61E-05,-4.017237616,invasive
VCAN,825.9111556,-3.24017302,0.295996418,-10.94666296,6.89E-28,3.90E-25,-24.40947494,invasive
SHC3,54.44174742,-3.226027092,1.165815051,-2.767186004,0.005654248,0.048841076,-1.311214778,invasive
SCN2A,82.71333456,-3.225581135,1.090732851,-2.957260463,0.003103858,0.030402644,-1.517088639,invasive
NUAK2,89.43631087,-3.218447802,0.844880519,-3.8093526,0.000139331,0.002214688,-2.654687431,invasive
ITGA5,6516.888016,-3.206273394,0.988055068,-3.245035119,0.001174361,0.013660436,-1.864535432,invasive
SPOCK1,1637.096737,-3.205068458,1.11814493,-2.866415948,0.004151484,0.038167858,-1.41830221,invasive
IKZF2,73.28444357,-3.186725418,1.14597983,-2.780786655,0.005422736,0.047136091,-1.326646437,invasive
DDAH1,550.0527226,-3.17677183,1.045480379,-3.03857623,0.00237699,0.02456025,-1.609767219,invasive
BCL3,479.3359243,-3.150895338,0.705689776,-4.464986518,8.01E-06,0.000182293,-3.739231108,invasive
TFPI2,888.4348614,-3.144682619,1.113579168,-2.823941673,0.004743702,0.0423898,-1.372738632,invasive
INHBE,201.2765488,-3.123415499,1.044254408,-2.991048422,0.002780214,0.028004911,-1.552765799,invasive
RRAS,998.6544643,-3.097704652,0.745633169,-4.154461982,3.26E-05,0.00063227,-3.199097607,invasive
OSMR,1548.883316,-3.094885632,1.118703635,-2.766492872,0.005666282,0.048911035,-1.310593151,invasive
LAMB3,1549.90403,-3.038644496,1.011667917,-3.003598754,0.002668069,0.027006599,-1.568530109,invasive
EFEMP2,617.4471573,-3.031978119,0.833173124,-3.639073359,0.000273621,0.003963994,-2.401866968,invasive
NMI,310.05918,-3.027164555,0.917512601,-3.299316601,0.000969205,0.011628593,-1.934472826,invasive
IFIT1,318.1854688,-3.016157251,0.946027107,-3.188235548,0.001431439,0.016069568,-1.793995796,invasive
TBX3,1719.508595,-2.95831211,0.869660543,-3.401686019,0.000669715,0.00845992,-2.072633729,invasive
FERMT3,1279.514262,-2.957494514,0.191072473,-15.47839134,4.85E-54,1.21E-50,-49.91834474,invasive
ID1,767.003534,-2.937919557,0.949579954,-3.093914888,0.001975341,0.020985893,-1.678072554,invasive
MT2A,4666.181424,-2.932747388,0.988622683,-2.966498179,0.003012121,0.029668938,-1.527697997,invasive
ST8SIA5,25.58920627,-2.905553895,0.808871036,-3.592110194,0.000328011,0.004626716,-2.334727147,invasive
ANTXR2,1767.35377,-2.883515241,0.882889293,-3.265998654,0.001090788,0.012815209,-1.892274315,invasive
PEX5L,76.66970197,-2.87943986,0.991917807,-2.902901671,0.003697227,0.034921377,-1.456908644,invasive
KIRREL3,82.53331442,-2.878638528,0.798714831,-3.604087985,0.000313251,0.004465263,-2.35015298,invasive
LMO7,1999.393173,-2.874372538,1.013662474,-2.835630805,0.004573528,0.041105536,-1.386099689,invasive
PPP1R13L,196.9092923,-2.821416636,0.785647327,-3.591199943,0.000329159,0.004633574,-2.334083857,invasive
MIR22HG,746.4407309,-2.796392939,0.659466464,-4.240386878,2.23E-05,0.000451721,-3.345129808,invasive
CD274,177.5837848,-2.78393887,0.995681767,-2.796012705,0.005173737,0.045480585,-1.342173963,invasive
CAV1,6802.574202,-2.780836446,0.637906297,-4.359318069,1.30E-05,0.000283518,-3.547419673,invasive
NCEH1,1436.75185,-2.768411869,0.671601831,-4.122102922,3.75E-05,0.00071137,-3.147904449,invasive
NDUFA4L2,340.1451921,-2.749196161,0.786164151,-3.496974718,0.000470566,0.006309753,-2.199987668,invasive
CSF1,1141.724681,-2.748673598,0.889319812,-3.090759434,0.001996453,0.021155935,-1.674567767,invasive
CLEC2B,161.2533266,-2.733772844,0.93741803,-2.91627935,0.003542332,0.033766246,-1.471517224,invasive
RP4-758J24.5,96.27863872,-2.725681507,0.968211156,-2.815172588,0.004875104,0.043253068,-1.36398308,invasive
LINC00085,172.9705633,-2.71995037,0.913980192,-2.975940172,0.002920918,0.029045612,-1.536919462,invasive
HEG1,2341.007801,-2.714832143,0.718551826,-3.778199493,0.000157966,0.002466735,-2.607877443,invasive
FOSL1,5750.127785,-2.706714279,0.906825752,-2.984822909,0.002837425,0.028442902,-1.546026102,invasive
EPAS1,4866.559925,-2.700872834,0.748582333,-3.607983672,0.000308586,0.004411204,-2.355442835,invasive
SAMD9,836.5210803,-2.666649586,0.956043112,-2.789256627,0.005282919,0.046211596,-1.335249035,invasive
AJUBA,1621.489046,-2.66504881,0.652447981,-4.084691637,4.41E-05,0.00081881,-3.086816718,invasive
BCAT1,1148.053215,-2.664260033,0.408905196,-6.515593485,7.24E-11,5.14E-09,-8.288811476,invasive
ARHGAP23,881.3497598,-2.63875818,0.935731303,-2.819995623,0.00480243,0.042791549,-1.368641995,invasive
NFE2L3,1392.034747,-2.634667457,0.709092153,-3.71555015,0.000202762,0.003073576,-2.512356065,invasive
TPM1,5604.948991,-2.619998869,0.905457707,-2.893562943,0.003808979,0.035759527,-1.446608233,invasive
RUNX2,456.8802412,-2.604900166,0.793572481,-3.282498106,0.001028917,0.012215316,-1.913095308,invasive
SNED1,732.0778432,-2.602670744,0.322475897,-8.070900077,6.98E-16,1.31E-13,-12.88133058,invasive
DGKA,332.0196139,-2.586191353,0.870786612,-2.969948455,0.002978497,0.029443831,-1.531005681,invasive
PLOD2,3282.543758,-2.580933856,0.685721067,-3.763824649,0.000167334,0.002593472,-2.58611842,invasive
CPED1,572.8278796,-2.568802575,0.218625933,-11.7497615,7.08E-32,4.89E-29,-28.31065502,invasive
CDC42EP2,148.4845045,-2.543485821,0.773736411,-3.287276887,0.001011613,0.012044398,-1.919214905,invasive
DDX58,406.578235,-2.541647786,0.72218491,-3.519386451,0.000432546,0.005895338,-2.229491261,invasive
SMURF2,1716.692785,-2.531103708,0.258373968,-9.796279901,1.17E-22,5.38E-20,-19.26941793,invasive
HAS3,103.8538352,-2.528353122,0.839671978,-3.011120041,0.002602859,0.026584668,-1.575368756,invasive
ZC3H12A,276.9365866,-2.517557662,0.533860906,-4.715755797,2.41E-06,6.26E-05,-4.203272995,invasive
QSOX1,14637.96298,-2.474779407,0.667212393,-3.709132854,0.00020797,0.003144855,-2.502399394,invasive
ERAP2,2292.583901,-2.471068782,0.890007078,-2.776459696,0.005495445,0.047734716,-1.321165656,invasive
UCHL1,466.6648331,-2.451952321,0.858404205,-2.856407629,0.004284647,0.03908533,-1.407986217,invasive
C4orf32,325.3406723,-2.441260827,0.881651955,-2.768962076,0.005623518,0.048709259,-1.312388475,invasive
GAS6,1380.014631,-2.418103405,0.851768742,-2.838920103,0.004526649,0.040802209,-1.389316322,invasive
TRIM59,90.68400724,-2.357665743,0.802266676,-2.93875567,0.003295327,0.031925892,-1.495856958,invasive
RP11-14N7.2,159.2424956,-2.345227883,0.711526444,-3.296051615,0.00098054,0.011741919,-1.930260916,invasive
ELL2,1605.474552,-2.344995211,0.682893763,-3.433909255,0.000594943,0.007703277,-2.113324502,invasive
VEGFA,11648.7237,-2.340287264,0.547581408,-4.273861805,1.92E-05,0.000398001,-3.40011628,invasive
RND3,3047.750727,-2.339922865,0.789714281,-2.962999304,0.003046573,0.029959571,-1.523464417,invasive
UAP1,3021.383568,-2.330146608,0.488020835,-4.774686734,1.80E-06,4.80E-05,-4.31866463,invasive
SPDL1,1625.211048,-2.326076007,0.435261939,-5.344083179,9.09E-08,3.31E-06,-5.479834844,invasive
RASA1,2639.657713,-2.312680243,0.325394527,-7.107311428,1.18E-12,1.31E-10,-9.881669503,invasive
SEMA4B,782.31135,-2.310563362,0.515497478,-4.482201096,7.39E-06,0.000170511,-3.768246597,invasive
ECE1,6128.592309,-2.31023137,0.547842629,-4.216961676,2.48E-05,0.000495631,-3.304841701,invasive
FAM129B,12296.07401,-2.303759399,0.437298667,-5.268160127,1.38E-07,4.72E-06,-5.326192948,invasive
LAMC1,29466.40281,-2.302868148,0.566373211,-4.065990595,4.78E-05,0.000878158,-3.056427469,invasive
NXT2,955.0120188,-2.293501193,0.755272304,-3.036654702,0.002392193,0.024655855,-1.608079931,invasive
ARL4C,1210.683114,-2.287591584,0.63346304,-3.61124713,0.000304728,0.004368824,-2.359635447,invasive
TGFBR2,3073.960466,-2.281484306,0.633549164,-3.601116433,0.000316854,0.004503718,-2.346428849,invasive
NFKBIA,1190.322149,-2.260001712,0.627877456,-3.599431212,0.000318914,0.004520069,-2.344854909,invasive
SEC24D,1942.343936,-2.248398023,0.567692393,-3.960592127,7.48E-05,0.001281818,-2.892173528,invasive
SP100,1804.641331,-2.244643602,0.450828798,-4.978926839,6.39E-07,1.88E-05,-4.726995154,invasive
HMGA1,20949.06997,-2.221283745,0.474611352,-4.680216211,2.87E-06,7.37E-05,-4.132547126,invasive
GRAMD1B,301.7012001,-2.219312099,0.705158442,-3.147253108,0.001648122,0.018145403,-1.741233387,invasive
TRAM2,4202.327266,-2.213812897,0.347055662,-6.378841032,1.78E-10,1.17E-08,-7.932806976,invasive
CNN2,2388.446081,-2.20050524,0.772418624,-2.848850574,0.004387748,0.039723023,-1.400957704,invasive
STX1A,316.5628776,-2.176812856,0.506527348,-4.297522854,1.73E-05,0.000363262,-3.439780115,invasive
HBEGF,552.8288885,-2.163046139,0.749106886,-2.887500008,0.003883166,0.03615562,-1.441824185,invasive
PVR,3728.972336,-2.121990061,0.457473882,-4.63849445,3.51E-06,8.85E-05,-4.053122675,invasive
BCAR3,1737.765144,-2.09548685,0.569529759,-3.679328108,0.000233849,0.003468671,-2.459836916,invasive
IRS1,2044.091723,-2.087013934,0.45988927,-4.53807921,5.68E-06,0.00013518,-3.869088602,invasive
FSTL3,1111.39281,-2.083711573,0.636616277,-3.273104453,0.001063732,0.01255668,-1.901125184,invasive
SIPA1L3,1259.475452,-2.083418838,0.608662926,-3.42294355,0.000619469,0.007987557,-2.097586044,invasive
ENG,2304.687437,-2.082541468,0.395226058,-5.269241307,1.37E-07,4.70E-06,-5.327552438,invasive
RELB,643.7214517,-2.079661461,0.640896805,-3.244924059,0.001174819,0.013660436,-1.864535432,invasive
MAP4K4,11355.62882,-2.078672956,0.405425202,-5.127142929,2.94E-07,9.33E-06,-5.030213324,invasive
DOCK5,1372.234469,-2.062486216,0.620027286,-3.326444274,0.000879616,0.010761445,-1.968129429,invasive
GALNT10,1643.444868,-2.047946326,0.488121982,-4.195562589,2.72E-05,0.000538756,-3.268608204,invasive
IL6ST,5736.002042,-2.037006103,0.549910929,-3.70424735,0.000212019,0.003194424,-2.495607419,invasive
TPM4,18918.03255,-2.036123715,0.518292929,-3.928519187,8.55E-05,0.001440936,-2.841355363,invasive
ATP2B1,3454.670031,-2.030701205,0.498227553,-4.07585087,4.58E-05,0.000848022,-3.071592952,invasive
HERC6,384.3710695,-2.030428101,0.681425253,-2.979678392,0.002885512,0.02883192,-1.540126429,invasive
RIN1,615.8999997,-2.026415732,0.623238166,-3.25143074,0.001148257,0.013389156,-1.873246792,invasive
ELFN1,72.36712346,-2.024314021,0.658407228,-3.07456227,0.002108117,0.022206691,-1.653516151,invasive
FJX1,560.5371261,-2.018180139,0.655227456,-3.080121447,0.002069162,0.021889093,-1.659772238,invasive
FUT8,1096.56216,-2.014721898,0.629125698,-3.202415518,0.001362803,0.015498296,-1.809716058,invasive
TNIP1,3149.561139,-2.012983566,0.369481442,-5.448131731,5.09E-08,1.92E-06,-5.715992872,invasive
SPATS2L,3628.676709,-2.01290566,0.348789784,-5.771114151,7.87E-09,3.46E-07,-6.461069689,invasive
JUN,1649.772625,-2.012751765,0.70079168,-2.872111388,0.004077392,0.037635886,-1.42439785,invasive
SMAD3,2947.243198,-1.978053337,0.665670773,-2.971518981,0.002963306,0.029373117,-1.532049972,invasive
RBCK1,7099.14465,-1.971930282,0.662603497,-2.976033617,0.002920029,0.029045612,-1.536919462,invasive
DCBLD1,549.2983237,-1.960257439,0.595377306,-3.292462474,0.000993142,0.011881375,-1.925133287,invasive
CD151,9561.062735,-1.951193231,0.681849651,-2.861617993,0.004214846,0.038636087,-1.413006868,invasive
TCP11L2,167.2379664,-1.947027212,0.686864761,-2.834658759,0.004587466,0.041201011,-1.385092123,invasive
TLDC1,697.9569259,-1.922152847,0.542599963,-3.542486135,0.000396374,0.005464385,-2.26245869,invasive
NET1,1583.275149,-1.921396123,0.48852137,-3.933085101,8.39E-05,0.001420179,-2.847656969,invasive
SKIL,952.2700801,-1.909448047,0.539668605,-3.538186265,0.000402886,0.00552745,-2.25747517,invasive
RTN4,17807.31935,-1.896875264,0.471861236,-4.01998537,5.82E-05,0.001029087,-2.987548111,invasive
ASPH,12044.97565,-1.892976651,0.436412774,-4.337583051,1.44E-05,0.000310337,-3.50816698,invasive
UBE2E3,1503.449637,-1.887601744,0.28938289,-6.522851937,6.90E-11,4.93E-09,-8.307336338,invasive
KLF7,953.2839024,-1.886634999,0.513662114,-3.672910555,0.000239803,0.003535892,-2.451501039,invasive
TIFA,303.1641763,-1.862561312,0.449366985,-4.144855704,3.40E-05,0.000652245,-3.185589504,invasive
E2F7,1935.900512,-1.861233564,0.654113181,-2.84543045,0.004435144,0.040093705,-1.396923808,invasive
SDC4,3366.196027,-1.861176161,0.430407392,-4.324219791,1.53E-05,0.000327486,-3.484807466,invasive
DRAP1,5658.533475,-1.857509811,0.538663413,-3.448368251,0.000563985,0.007371533,-2.132442192,invasive
NR2F2,2535.076734,-1.844252531,0.653460139,-2.822287729,0.004768238,0.042547878,-1.371122099,invasive
ANKRD13A,1873.068627,-1.821211959,0.379426963,-4.799901258,1.59E-06,4.29E-05,-4.367589717,invasive
PDLIM7,2371.44078,-1.779534509,0.37723369,-4.717326572,2.39E-06,6.24E-05,-4.204803438,invasive
RAB23,788.3978428,-1.754740128,0.515577766,-3.40344414,0.00066542,0.008431369,-2.074101911,invasive
ST6GALNAC4,308.3139721,-1.750907795,0.606454714,-2.88712043,0.003887854,0.036172173,-1.441625396,invasive
CITED2,1409.342738,-1.749391136,0.583941339,-2.995833687,0.002736957,0.027591542,-1.559224031,invasive
NME7,480.6578866,-1.728507307,0.441024741,-3.919297824,8.88E-05,0.0014857,-2.828068915,invasive
CYLD,1035.431021,-1.724317215,0.402719159,-4.281686572,1.85E-05,0.000386836,-3.412473092,invasive
AQP1,27.31119733,-1.707902079,0.618990178,-2.759174768,0.005794754,0.049743637,-1.303262463,invasive
PVRL2,2169.089664,-1.665099043,0.553578888,-3.007880323,0.002630767,0.026759767,-1.572517666,invasive
RASA3,2380.81046,-1.661378843,0.575050553,-2.889100503,0.003863456,0.036121439,-1.442234962,invasive
PLCB3,1933.03833,-1.64835744,0.356832859,-4.61941046,3.85E-06,9.59E-05,-4.018358347,invasive
RAPH1,1682.43656,-1.641740069,0.428803491,-3.828653695,0.000128846,0.002066526,-2.684759104,invasive
PLK2,4099.38455,-1.639758936,0.506162131,-3.239592288,0.001197007,0.013892437,-1.857221569,invasive
FEZ2,1456.296159,-1.635187109,0.284800896,-5.741509706,9.38E-09,4.08E-07,-6.389524587,invasive
ARL4D,355.4613165,-1.634428233,0.526277937,-3.105637001,0.001898696,0.020345514,-1.691531328,invasive
FTSJ3,5098.009715,-1.627029343,0.423924774,-3.838014293,0.000124033,0.002015338,-2.695652133,invasive
TAP1,1845.316463,-1.615336596,0.479301199,-3.37019102,0.000751161,0.009374428,-2.028055219,invasive
PMAIP1,1438.908959,-1.612607722,0.540030085,-2.986144231,0.002825194,0.028366039,-1.547201304,invasive
FBLN2,133.2570153,-1.609754749,0.403820317,-3.98631441,6.71E-05,0.001171555,-2.931237327,invasive
PARP3,1202.776738,-1.599703329,0.382909811,-4.177754876,2.94E-05,0.000578104,-3.237993771,invasive
ELK3,2060.592101,-1.590449865,0.462078709,-3.441945782,0.000577546,0.007517169,-2.123945667,invasive
TRIM21,600.4042706,-1.587811591,0.508296287,-3.12379144,0.00178537,0.019361016,-1.713071845,invasive
ING2,341.2946265,-1.577671729,0.525232088,-3.003761126,0.002666646,0.027006599,-1.568530109,invasive
DPF1,181.6689954,-1.569176012,0.505779267,-3.102491768,0.001918989,0.020509915,-1.688036135,invasive
MYL6,4640.334401,-1.555150591,0.444293549,-3.500277228,0.000464775,0.006252324,-2.203958523,invasive
TFE3,2712.052664,-1.554984668,0.460335119,-3.377940554,0.000730309,0.009160178,-2.038096073,invasive
SH3RF1,836.7300922,-1.55189954,0.413218784,-3.755636482,0.000172902,0.002659859,-2.575141457,invasive
SLC10A3,698.5537973,-1.546192639,0.441023131,-3.505921864,0.000455029,0.006134499,-2.212220929,invasive
RRAS2,990.0225879,-1.543528489,0.436471786,-3.536376321,0.000405656,0.005553204,-2.255456394,invasive
PDLIM5,2110.821753,-1.535219283,0.426677891,-3.598075538,0.000320581,0.004533351,-2.343580618,invasive
LASP1,5851.760231,-1.526834286,0.442713835,-3.448806349,0.00056307,0.007367331,-2.132689814,invasive
HSPA5,50267.37919,-1.526625117,0.490085866,-3.115015597,0.001839352,0.019812083,-1.70306987,invasive
EFHD2,2928.3019,-1.520283684,0.441088803,-3.44666125,0.00056756,0.007402694,-2.130610185,invasive
ATG7,980.2379628,-1.519816306,0.462934555,-3.283004671,0.00102707,0.012205044,-1.913460665,invasive
NR3C1,1992.38932,-1.51450158,0.37431808,-4.046028398,5.21E-05,0.000939808,-3.026961086,invasive
KLF10,1517.627016,-1.512884585,0.52276053,-2.894029864,0.00380332,0.035733383,-1.446925863,invasive
ITGB1,23096.69692,-1.508916534,0.422663896,-3.570015204,0.000356961,0.004974237,-2.303273553,invasive
SOCS5,1361.445405,-1.498455797,0.489471333,-3.061376013,0.002203222,0.023091106,-1.636555263,invasive
MAP3K14,506.5190262,-1.473131701,0.472262711,-3.119305564,0.001812779,0.019570314,-1.708402208,invasive
CDKN2A,490.2645395,-1.461986934,0.391763634,-3.731808692,0.00019011,0.002899467,-2.537681839,invasive
EXT1,3314.074093,-1.454047673,0.510032627,-2.850891484,0.004359685,0.039555386,-1.402794372,invasive
PNPLA2,1575.752488,-1.452962988,0.452222169,-3.212940645,0.001313834,0.015029586,-1.823052992,invasive
LAMB2,9219.239359,-1.446227377,0.474817958,-3.045856527,0.002320185,0.02411363,-1.617737399,invasive
KANK2,4355.597769,-1.435054149,0.504573342,-2.844094264,0.004453787,0.040203756,-1.395733374,invasive
C9orf37,531.8094352,-1.430168444,0.448878493,-3.1860926,0.001442084,0.016148746,-1.791861195,invasive
HYI,344.852158,-1.41166866,0.495281679,-2.850233955,0.004368708,0.039608346,-1.402213294,invasive
GNAI2,9285.556935,-1.40969442,0.465280434,-3.029773694,0.00244737,0.025141169,-1.599614529,invasive
LOXL4,202.4400621,-1.373333186,0.465526134,-2.950066784,0.003177052,0.030948873,-1.509355158,invasive
DNMBP,730.7186046,-1.370258382,0.396494192,-3.455935573,0.000548386,0.007197933,-2.142792191,invasive
PINK1,670.5351064,-1.368081934,0.464325874,-2.946383155,0.003215139,0.031270871,-1.504860019,invasive
HDGF,13981.87971,-1.348048046,0.314309504,-4.288919134,1.80E-05,0.000376348,-3.424410919,invasive
SLC38A2,12511.96709,-1.337846747,0.265561908,-5.037796108,4.71E-07,1.43E-05,-4.845487179,invasive
ODF2,2601.483428,-1.285776918,0.410486352,-3.132325625,0.001734274,0.018942906,-1.722553389,invasive
EHBP1L1,3227.731191,-1.276719024,0.456861053,-2.794545553,0.005197272,0.045655186,-1.340509881,invasive
SLC16A1,3597.76285,-1.27500478,0.362885121,-3.513521792,0.000442208,0.006000707,-2.221797614,invasive
KCTD1,704.1428916,-1.259874732,0.45297213,-2.781351543,0.005413308,0.047110814,-1.326879391,invasive
TCEAL3,819.3743608,-1.249760218,0.450537558,-2.773931267,0.005538338,0.048040153,-1.318395619,invasive
MLTK,1859.989823,-1.234442409,0.414695656,-2.976743044,0.002913281,0.029016089,-1.53736113,invasive
TMSB10,20202.15291,-1.231653813,0.420268289,-2.930637037,0.003382678,0.032594328,-1.486857975,invasive
CSNK2B,263.3048391,-1.230775467,0.426187025,-2.88787644,0.003878522,0.03615562,-1.441824185,invasive
MCFD2,6752.24588,-1.221038821,0.382447346,-3.192697854,0.001409503,0.015927389,-1.79785541,invasive
PML,2054.094272,-1.216264553,0.439874508,-2.765026232,0.005691822,0.048995392,-1.309844767,invasive
MYH9,49393.42422,-1.214406722,0.386139791,-3.144992432,0.001660911,0.018221648,-1.739412351,invasive
PLIN3,2455.659952,-1.208571537,0.399062637,-3.028525915,0.0024575,0.025209752,-1.598431429,invasive
SYDE1,2134.698979,-1.191395942,0.354086362,-3.364704406,0.000766257,0.00951506,-2.021588479,invasive
OXSR1,3477.107193,-1.180575503,0.396793699,-2.975287931,0.002927137,0.029060949,-1.536690208,invasive
