"Supplementary Table 6 – Candidate TEAD targets genes are annotated with expression information (in-house and public datasets), biological function and involvement in melanoma. ",,,,,,,,,,,
,,,,,,,,,,,
Gene Symbol,2 invasive vs 9 proliferative samples,,TEADs - KD in MM047,,TAZ activation in Glioma*,TCGA-SKCM (TEAD-high vs rest),,CCLE-melanoma (Resistant vs Sensitive),,ECM and locomotion (GO),Involvement in melanoma (NCBI)
Gene Symbol,log2FC,adj-p-val,log2FC,adj-p-val,log2FC,log2FC,adj-p-val,log2FC,adj-p-val,,
AOX1,5.950918816,6.16E-07,-1.629178594,1.65E-05,5.541410851,0.514633841,0.133796248,1.668974397,0.038825433,0,0
ARHGAP23,2.63875818,0.042791549,0.27216526,0.233353098,NA,0.485882495,0.026066384,0.495775093,0.006247957,0,0
ARHGDIB,5.652198465,7.77E-08,-0.676369065,0.005775812,-0.063457666,-0.143713189,0.601213259,0.735507697,0.249681073,0,0
ARHGEF28,3.024851913,0.060499099,-0.630340265,0.205193693,1.179380955,NA,NA,0.590085388,0.132409353,0,0
ARL4C,2.287591584,0.004368824,0.884234663,1.60E-05,0.112451355,1.050205972,2.53E-07,1.008575221,0.020663821,0,0
ARL4D,1.634428233,0.020345514,-1.001257577,3.79E-07,-0.214249611,0.408639202,0.069873208,0.214812416,0.292353418,0,0
ARMC4,7.109833168,1.18E-09,-1.753855426,0.001036541,0,2.077037565,0.003175224,0.230408951,0.478073567,0,0
ARNTL2,5.348867609,1.01E-06,-0.695164156,0.178607472,1.247365714,2.51080089,5.45E-15,1.538511857,0.03885739,0,0
ARSJ,2.460236525,0.095117784,-0.702434508,0.001713594,0.110094269,1.169452196,6.93E-06,1.446603045,0.06839298,0,0
ATG7,1.519816306,0.012205044,-0.105023782,0.74605862,-0.023799846,-0.000982651,0.993853735,0.263423541,0.272443558,0,0
ATP2B1,2.030701205,0.000848022,-0.73273231,0.004546025,-1.61530587,1.354815676,8.26E-14,0.491076273,0.324121589,0,0
ATP8B1,5.499468359,3.24E-06,1.081391478,0.000389178,0.045021711,1.069554744,3.92E-06,0.521640261,0.361771037,0,0
BCAR3,2.09548685,0.003468671,-0.117807587,0.757860334,3.054989535,0.201062745,0.301345815,0.860235139,0.019058706,0,0
BLK,3.887628319,0.002440265,-0.160038538,0.824027082,0,-2.091876412,3.81E-06,0.055239897,0.630058966,0,0
BNC1,5.998924452,0.00014824,-1.056350788,0.000173611,0,1.462793879,0.000965419,0.613539175,0.255232118,0,0
C12orf75,3.647767723,0.010535802,-0.346844436,0.379857117,NA,0.865920277,0.000462078,1.789549869,0.001616134,0,0
C4orf32,2.441260827,0.048709259,0.017642658,0.977022723,NA,0.618748646,0.002243268,-0.075542838,0.926432831,0,0
C6orf141,6.433279416,1.24E-07,-0.59258843,0.272421922,NA,2.864525561,1.35E-08,-0.208365607,0.764520654,0,0
C7orf69,6.825772273,1.00E-07,NA,NA,0,-2.047899898,0.00041422,0.56134913,0.082910045,0,0
C9orf37,1.430168444,0.016148746,0.037612879,0.940934516,NA,-0.374624188,0.004197599,NA,NA,0,0
CA12,4.958596724,6.25E-05,0.061194023,0.901848496,-1.428185539,1.376463886,0.000326187,-0.343931947,0.73485512,0,0
CA9,6.138162132,1.43E-05,-0.573592734,0.542801919,0,1.512407071,0.001313247,0.433926746,0.421551714,0,0
CAB39,1.04673437,0.055429477,-0.209193365,0.243431046,0.11010281,0.304096793,0.004304917,0.176968962,0.581916101,0,0
CCBE1,6.880949286,1.24E-08,0.690344033,0.235666104,NA,1.364489619,0.000218504,1.017980752,0.153308076,0,0
CCDC68,7.687727972,1.12E-09,-0.613613287,0.372818137,0,1.16807572,0.003638858,0.160467003,0.855541805,0,0
CD163L1,6.459126158,4.41E-08,0.040700234,0.913224042,NA,1.320415765,7.02E-06,2.112868404,0.004749783,0,0
CD96,4.113924279,0.012353444,0.167589802,0.893326776,0,-0.573629705,0.118679424,0.634703805,0.678265557,0,0
CDC42EP4,1.786800853,0.059756897,-0.950401155,0.000914589,-0.986738723,-0.113362382,0.638498312,0.332078516,0.409546696,0,0
CDH6,7.582944802,5.17E-11,1.093374824,0.218896775,0.478618489,1.754301115,4.87E-11,0.547478573,0.173782312,0,0
CDK15,4.739673728,0.0001867,0.1109029,0.840386632,NA,-2.579533663,1.21E-08,0.213138248,0.586111068,0,0
CFB,5.030418098,9.21E-07,1.600403176,1.18E-06,-0.066376027,0.761781392,0.011967066,0.081637674,0.542700433,0,0
CFH,5.711424277,6.78E-08,0.618251838,0.223604334,0.865924753,1.447655941,1.94E-09,0.769661665,0.420156946,0,0
CFL2,1.031192252,0.066178518,0.162109127,0.700738513,NA,0.25728279,0.049629067,0.210522939,0.583574779,0,0
CLDN11,4.92062538,0.000338584,0.102809887,0.867540662,0.090936712,1.212563655,0.003468819,0.524462894,0.459027169,0,0
CLEC2B,2.733772844,0.033766246,-0.017540968,0.983088493,0,1.04319039,4.38E-06,0.253683036,0.808764122,0,0
COLEC12,4.42394383,0.019173706,1.611350147,1.80E-14,0,1.407137829,1.64E-09,1.154094184,0.217134422,0,0
CPA4,7.722233204,4.23E-09,1.381794392,0.00136062,1.557946687,1.727022326,1.95E-05,0.648834409,0.245999674,0,0
CPED1,2.568802575,4.89E-29,-0.820239227,0.021552258,0.758124051,NA,NA,1.54036358,0.11602716,0,0
CREB3L1,6.693567697,7.36E-08,-0.3552984,0.356640116,1.163716469,1.202963896,5.61E-05,0.714613631,0.043074072,0,0
CRIM1,3.98588273,0.000959343,-2.243547721,1.38E-20,0.784836949,1.07624833,4.09E-07,2.717987882,0.002441903,0,0
CTA-392C11.1,7.382102266,4.01E-11,-0.501786395,0.556550552,NA,NA,NA,NA,NA,0,0
CTD-2171N6.1,6.741745017,7.69E-06,NA,NA,NA,NA,NA,NA,NA,0,0
DCN,3.909882796,2.73E-07,0.929495905,0.104501881,-1.914219617,1.385335061,9.07E-07,0.257716835,0.813403114,0,0
DDAH1,3.17677183,0.02456025,1.296158236,3.89E-06,0.165557749,0.924206458,7.84E-05,0.611918387,0.09173067,0,0
DENND2A,5.17236357,0.000188167,-0.145277824,0.853777419,0.203068778,0.660916805,0.049274938,0.565754365,0.397961888,0,0
DENND3,2.669517035,0.059428314,-0.020790901,0.975227892,0.577511904,0.504260683,0.013366142,0.360410434,0.164894417,0,0
DOCK3,3.983639517,0.009612037,0.861490367,0.067523913,0,0.301536981,0.430622242,0.203821232,0.448356781,0,0
DOCK5,2.062486216,0.010761445,-0.789093741,0.001072578,0.04398511,0.803340657,0.000362907,0.595684958,0.034502696,0,0
DPEP3,7.362247974,1.00E-07,-0.227754213,0.478350148,-0.087858722,-2.690386317,1.24E-06,0.007986137,0.970374593,0,0
DPF3,3.315951542,0.042959886,0.635638602,0.012978557,0.322116829,1.148341071,5.65E-05,0.337504784,0.145941058,0,0
DPYD,3.713991023,0.010968627,0.145253106,0.609549561,1.585888044,1.091134009,3.21E-05,1.280709845,0.032364528,0,0
DRAP1,1.857509811,0.007371533,0.09669187,0.805222831,1.25341415,0.103324954,0.529171658,0.762146632,0.020663821,0,0
DSE,4.250497707,1.15E-05,-1.953398622,8.30E-19,3.662376939,0.927945827,4.18E-11,0.917408425,0.004406917,0,0
E2F7,1.861233564,0.040093705,0.09008708,0.859176431,NA,0.609516507,0.003682191,-0.01209182,0.978687948,0,0
EDIL3,6.295748666,3.35E-07,0.014326507,0.983554846,1.681558682,2.439795489,1.96E-12,0.779716726,0.061750327,0,0
EFEMP2,3.031978119,0.003963994,-0.027895813,0.948187383,0.374166086,1.077447916,1.68E-06,1.140677068,0.196163808,0,0
EFHD2,1.520283684,0.007402694,-0.153756977,0.780017906,-0.072852168,-0.25947945,0.111482771,0.032525354,0.958750023,0,0
EHBP1L1,1.276719024,0.045655186,0.153373201,0.513321795,-0.006473317,0.384216138,0.00244565,0.233903534,0.500534006,0,0
ELK3,1.590449865,0.007517169,-1.114030632,1.27E-06,1.26102383,1.15995816,1.34E-13,0.748312619,0.026275662,0,0
ELL2,2.344995211,0.007703277,-0.2288248,0.449361049,1.452450806,0.749496266,4.78E-05,1.331528921,0.005002299,0,0
ELTD1,7.644360758,5.83E-15,-0.65320573,0.106593609,0,1.442824081,7.97E-13,0.99398085,0.263700423,0,0
EREG,8.245461573,2.00E-08,-0.619334526,0.365718338,0.945151942,2.868172433,5.57E-08,0.857869139,0.225916497,0,0
ESM1,7.384995664,1.22E-08,-2.368381242,0.00312757,0.034965893,1.334911737,5.90E-06,1.383568396,0.084683709,0,0
FAM101A,4.273645549,0.011276908,0.940834414,0.308067272,NA,0.7508141,0.023470293,NA,NA,0,0
FAM105A,3.425747986,0.091026561,0.382645376,0.546041451,-0.664103311,1.31446178,2.07E-06,0.240209768,0.529434799,0,0
FAM155A,5.763475082,8.10E-05,-0.628473709,0.483954043,0,1.76135172,8.90E-10,1.238993479,0.115511062,0,0
FAM167A,3.775566029,0.007103318,0.12760288,0.698810281,NA,-0.319549318,0.405335076,0.54872223,0.199028491,0,0
FAM196B,7.179051709,1.25E-11,-0.228956152,0.541558429,NA,-0.829278907,0.07472203,NA,NA,0,0
FAM20C,3.672503913,4.99E-08,0.218781137,0.620752327,NA,1.676528057,6.22E-12,1.173427273,0.015668118,0,0
FAM84A,4.25004425,0.013309516,-1.169324565,0.017615872,NA,2.520730921,1.14E-17,0.097198696,0.419894612,0,0
FAT4,2.802621085,0.052636057,-0.337412739,0.28856057,0.77046744,1.363175455,2.85E-08,0.845726274,0.085425037,0,0
FBLIM1,3.136869624,0.07269648,-0.405704049,0.17934006,NA,0.803325394,0.000218861,0.331393223,0.646257273,0,0
FBN1,5.213032762,2.42E-07,-0.05011535,0.885364496,0.458449866,1.495284197,2.97E-10,1.520785049,0.062615935,0,0
FCF1,1.032903037,0.03423095,-1.286522566,4.45E-14,-0.113200826,0.14309366,0.14485693,-0.025220273,0.958164409,0,0
FENDRR,7.397779973,7.92E-08,1.722158276,0.00068998,NA,NA,NA,0.352038856,0.312370314,0,0
FERMT3,2.957494514,1.21E-50,0.952171788,8.74E-07,NA,-0.030094802,0.930000027,0.716782274,0.56776785,0,0
FGD6,1.922686068,0.061983038,0.648427998,0.032102356,-0.332871018,0.921723589,3.04E-07,0.191160291,0.4010877,0,0
FGF5,7.10923956,5.53E-13,0.000639224,0.999337652,1.116940081,2.690320807,6.57E-07,0.922792271,0.15176619,0,0
FIBCD1,3.913935742,0.03347612,0.929152215,0.005093036,NA,0.325734651,0.555213738,0.003683773,0.994232839,0,0
FJX1,2.018180139,0.021889093,0.982630281,0.035500177,0.715236211,0.596791015,0.004137569,0.687524814,0.30793447,0,0
FLNB,3.366280399,7.27E-07,0.28303524,0.506253472,1.576895063,0.468541584,0.009369611,1.216689713,0.004856601,0,0
FLNC,5.022719613,8.10E-05,-0.276197456,0.546041451,0.058428604,1.498575241,4.88E-06,1.009802294,0.109956435,0,0
FMOD,4.61485342,0.004709439,-0.827652177,0.005572146,-0.023077806,1.19209555,0.000259901,-0.037124353,0.982253094,0,0
FRMPD4,4.313921202,0.008307056,0.53529663,0.282861937,0.095692054,1.087031381,0.032330944,0.49976646,0.015692896,0,0
FSTL3,2.083711573,0.01255668,0.179132049,0.622761809,0.92615704,0.140794476,0.660869554,0.758887356,0.173782312,0,0
FTSJ3,1.627029343,0.002015338,-0.385159133,0.037523187,0.026256056,-0.30063836,0.003576563,0.071180343,0.909301149,0,0
FZD2,4.2317608,9.95E-05,-1.152460933,0.000102767,1.273614189,0.714409093,0.00222492,1.319110062,0.007283345,0,0
G0S2,6.771851261,6.04E-08,-1.969700385,1.78E-06,0,0.468084046,0.130314461,1.395386418,0.188680733,0,0
GABRE,8.781579953,1.03E-19,0.306610645,0.516429824,NA,2.369501161,4.02E-16,NA,NA,0,0
GABRQ,5.704695497,3.40E-09,0.641022695,0.215466256,0.139935967,0.74370232,0.138240076,0.193197532,0.354235905,0,0
GALNT10,2.047946326,0.000538756,-0.705837446,0.000311605,0.533469572,0.407587616,0.004220562,0.460376132,0.107053891,0,0
GALNT14,3.763608987,0.085154886,-1.244763157,0.004634182,0,-0.638633839,0.154380465,0.42908067,0.732676689,0,0
GALNT5,7.0997055,3.60E-08,-0.185452503,0.683909456,NA,2.165377542,9.08E-09,0.892674776,0.124585042,0,0
GALNT6,6.481612635,1.48E-07,0.059451004,0.883912987,0,0.584092787,0.07299549,0.527057634,0.510907664,0,0
GBP1,6.222686095,2.83E-08,0.677803653,0.000284513,1.326019413,-0.372993503,0.299053173,1.480782235,0.006238774,0,0
GBP4,5.894740245,1.08E-05,0.968759029,0.000373105,NA,-0.597055967,0.108987185,0.105879982,0.302693274,0,0
GCNT1,4.138203635,0.000935592,-1.113417549,0.00965615,1.673970931,0.591088397,0.023770086,0.709026892,0.09930442,0,0
GDF5,7.097968134,6.56E-08,2.554656545,7.32E-05,0,0.83486689,0.042816805,0.023633849,0.939372559,0,0
GLG1,1.233290813,0.071136236,-0.230891811,0.366864702,-0.153409343,0.524204092,7.02E-08,0.469751749,0.123946656,0,0
GLIS3,6.005902818,1.16E-09,-0.106565233,0.861184452,NA,2.031729809,1.29E-13,1.75714906,0.041328636,0,0
GNAI2,1.40969442,0.025141169,-0.05353443,0.823419806,-0.29967971,0.063666272,0.648713361,0.238345081,0.139551422,0,0
GPR1,4.342825602,0.004626716,-1.159101923,0.020730323,0,1.194294859,0.000542071,0.145831248,0.361345193,0,0
GPR128,8.129058673,6.60E-09,NA,NA,NA,1.697106013,0.050761629,0.310399601,0.605517819,0,0
GPR176,3.277057607,0.008086382,-0.365831597,0.130601038,1.709606566,0.957055434,3.68E-06,1.62844079,0.001769129,0,0
GRAMD1B,2.219312099,0.018145403,-0.135694967,0.840415758,-0.311763655,-0.556308318,0.125660391,-0.198990983,0.90085377,0,0
GREM2,2.991696986,0.096490633,0.571307112,0.426315333,0,1.168308091,0.001714077,0.412789393,0.304452616,0,0
GUCY1B3,5.406599131,0.000386836,1.153522994,0.000292479,0.009902459,0.969916286,1.05E-05,0.166254441,0.909301149,0,0
HECW2,5.051987612,9.10E-05,0.136696078,0.640621624,NA,1.403914506,8.26E-14,0.546821551,0.050782167,0,0
HEG1,2.714832143,0.002466735,-0.768324961,0.006739533,0.060722626,0.585721242,0.000526598,0.79754048,0.077261079,0,0
HHIPL2,4.929222287,0.000175014,0.542328539,0.218886556,0.014860422,0.750677037,0.020042855,0.109039968,0.718523779,0,0
HIC1,4.098398187,0.003949442,1.138135857,0.025171004,0,1.368939501,9.41E-10,0.336758968,0.206660765,0,0
HIST1H1C,2.597263708,0.06038908,0.158510926,0.791962978,0.665891474,-0.166903055,0.562522342,-0.294689589,0.812786709,0,0
HRH1,4.771620897,0.001034685,-0.656341041,0.021113702,-0.278458844,1.590249246,7.61E-13,1.672156799,0.005002299,0,0
HS3ST3A1,6.065996909,1.88E-05,-0.436879672,0.297498039,0.177239822,1.680484927,8.06E-08,2.403048611,0.020810497,0,0
HSPB7,5.233503035,0.001178687,1.409876765,0.003204742,0.01492285,-0.115748661,0.824725111,0.172321433,0.436339078,0,0
HTR1F,5.598791274,4.05E-06,NA,NA,0,0.962628086,0.001189904,-0.198942531,0.714576932,0,0
HYI,1.41166866,0.039608346,-0.155335211,0.775383,0.914555272,-0.092118968,0.659888529,0.887608266,0.022958377,0,0
IFI44,3.728904761,0.012594787,-0.597654324,0.01812898,-0.330042972,0.480717047,0.075716184,1.090432908,0.084997555,0,0
IFI44L,4.84845209,0.005543885,-1.045819852,0.017369883,-1.687694531,-0.354162743,0.354198368,0.937418055,0.14635322,0,0
IGFBP6,5.282264621,4.47E-11,0.283295095,0.265527415,2.455077434,1.661583945,9.58E-11,2.670858858,0.001585916,0,0
IGFN1,6.781306963,2.07E-10,-0.439154196,0.480461373,NA,1.133188457,0.015189453,0.231084042,0.279339606,0,0
IKZF2,3.186725418,0.047136091,0.903263635,0.025133655,0.031294875,0.156392392,0.624441831,0.210209902,0.213015818,0,0
IL1RL1,5.265539707,0.001010027,NA,NA,0,1.68854248,2.42E-07,-0.062806869,0.931441694,0,0
IL20RB,3.698868536,0.001665769,1.414809984,8.25E-05,NA,-0.365403004,0.249845701,0.334338581,0.522807415,0,0
IL4R,2.56136859,0.066218281,0.450557919,0.171206862,1.832499761,0.315671025,0.137937077,0.556577947,0.324557228,0,0
INHBE,3.123415499,0.028004911,1.015748427,0.011385949,0.652140705,-0.054692985,0.871432575,0.055978045,0.807525853,0,0
IRF1,4.031016838,1.40E-12,1.442567049,5.35E-19,1.329319878,-0.543021575,0.054851765,1.329660851,0.000832681,0,0
ITGA11,6.762418247,1.08E-08,0.16584185,0.822788677,NA,1.468405255,2.87E-07,0.697645419,0.064865222,0,0
ITGBL1,6.702955965,3.74E-16,-0.211847798,0.748096576,0.370149143,1.108872878,0.002005311,0.331194388,0.71055406,0,0
JPH2,5.638209583,0.000134461,-0.384475062,0.386473441,0.406856182,-0.261151428,0.500212897,0.19617285,0.36943672,0,0
KANK2,1.435054149,0.040203756,0.184013899,0.505009662,-0.060386862,0.338353044,0.049605442,0.087022985,0.742439382,0,0
KCNMA1,5.196000841,0.000654893,-0.304675088,0.50651491,0.653454618,1.166346164,0.000514471,1.401457033,0.008282063,0,0
KCNN4,2.702623232,0.069257821,0.414417685,0.14621501,2.34398865,0.997967647,0.003680297,1.703976521,0.088744056,0,0
KCNT2,4.026912514,0.008407079,0.676134001,0.236630423,NA,2.427234472,1.93E-14,0.070570766,0.720755427,0,0
KCTD1,1.259874732,0.047110814,-0.024152736,0.956716826,NA,0.171510376,0.235271917,0.138329408,0.600245483,0,0
KIAA1462,3.78405348,0.048788147,-0.903774645,0.069120506,-0.151632426,1.278979215,2.78E-11,0.292275449,0.6279253,0,0
KLF10,1.512884585,0.035733383,0.103226584,0.747629537,0.756620352,0.650340123,2.74E-07,0.599943213,0.14724119,0,0
KRT18,4.853788925,0.001239865,-0.124327622,0.680844441,0.877932973,0.730064386,0.042591123,0.891080711,0.517981015,0,0
KRT8,4.704262422,0.000408292,0.489913667,0.153342759,0,-0.214201801,0.628692514,0.287025727,0.227080646,0,0
KRT80,5.636750041,5.48E-06,3.293455889,6.44E-40,NA,0.274581281,0.566259331,0.460515883,0.550127415,0,0
KRT81,6.557317823,7.50E-07,2.771962383,7.52E-29,1.544459761,-0.666910356,0.128442221,0.998396892,0.387362424,0,0
LAMB3,3.038644496,0.027006599,0.540318107,0.096809903,-0.981556904,1.119427353,0.000462876,1.143754961,0.062615935,0,0
LASP1,1.526834286,0.007367331,-0.086155565,0.813370475,0.261392643,-0.062256156,0.61048814,0.671054564,0.02407979,0,0
LAYN,4.088811346,0.029443831,-1.100642039,7.29E-05,NA,1.207849279,1.08E-05,0.33076343,0.466606932,0,0
LMO7,2.874372538,0.041105536,-1.159992948,1.41E-06,0.379694021,0.99957603,2.87E-07,0.626016112,0.08233086,0,0
LRRC17,7.008994041,3.97E-10,2.05807063,5.38E-07,0.86992602,2.357295522,2.47E-14,0.773870101,0.277594592,0,0
LYPD6B,6.863789944,1.92E-13,0.742283661,0.216867532,NA,0.917324699,0.086107966,0.573674991,0.357128877,0,0
MAP4K4,2.078672956,9.33E-06,-0.844537175,0.001981517,-0.275959833,0.67707815,4.69E-08,0.8768865,0.005727814,0,0
4-Mar,6.608265942,NA,-0.942083634,0.110366794,NA,0.408835098,0.238055852,0.986728287,0.050147238,0,0
MB21D2,2.28975214,0.069511077,0.928603081,4.44E-05,NA,NA,NA,1.108135575,0.055466972,0,0
MBOAT7,1.269622116,0.077187848,-0.830204674,0.002734201,0.300482304,-0.10752049,0.526409834,0.473848017,0.042801059,0,0
MCFD2,1.221038821,0.015927389,-0.118797456,0.765199405,0.527471359,0.529838846,2.76E-06,0.268936854,0.105346263,0,0
MECOM,4.205432583,0.010916053,-1.107916645,0.000106969,-0.031107818,1.585787523,4.63E-15,0.234780745,0.620588617,0,0
MEOX2,6.551060137,1.75E-05,-0.30774226,0.426520254,-1.085014097,3.214209726,1.06E-19,-0.381119751,0.51410562,0,0
MICAL2,3.340103493,0.052989567,0.374110749,0.171212158,1.393168046,0.414540534,0.144469081,1.061761325,0.037011551,0,0
MIR137HG,6.233651056,2.45E-06,0.047082837,0.951477766,NA,NA,NA,NA,NA,0,0
MLK4,2.642596497,0.061883703,-0.826209412,0.060774634,NA,NA,NA,NA,NA,0,0
MLTK,1.234442409,0.029016089,-0.430344161,0.103136871,NA,NA,NA,NA,NA,0,0
MPP4,4.968448158,3.04E-05,-0.624146294,0.405278132,NA,0.150786217,0.762306992,0.537474432,0.147418946,0,0
MPP5,1.104889055,0.092504451,0.071847043,0.864100827,0.601010341,0.343896816,0.011901327,0.493957422,0.074282848,0,0
MPP7,4.09750744,0.008096991,1.03718851,0.220778937,NA,1.650532806,7.04E-06,-0.064662358,0.813403114,0,0
MT1E,5.929557557,0.000651059,-0.484652878,0.109190302,1.496996211,0.849205675,0.01219214,1.350376134,0.298348313,0,0
MT2A,2.932747388,0.029668938,-1.868296816,1.45E-10,1.843149857,0.396338778,0.164668526,0.843815435,0.2181417,0,0
MX1,4.061577311,0.000644646,-0.004801947,0.993407223,-0.077885991,-0.324816795,0.31892302,0.125866484,0.947597797,0,0
MXRA8,2.714082041,0.067368721,0.666811301,0.019973596,0,1.394808084,5.70E-08,0.154388552,0.536943988,0,0
MYPN,4.911455083,0.000323832,-0.161923953,0.719182148,NA,-0.620598538,0.221772938,0.364430424,0.181114327,0,0
NALCN,3.600397726,0.080804493,0.943162685,0.213651487,NA,-1.720237912,0.000246427,0.079336231,0.78890022,0,0
NET1,1.921396123,0.001420179,-0.206977157,0.338152595,0.351546928,1.261902778,2.01E-14,0.362253644,0.529880544,0,0
NETO1,7.6667865,1.11E-14,0.42720586,0.300789486,NA,0.716650514,0.131548484,0.377818525,0.52259578,0,0
NFE2L3,2.634667457,0.003073576,0.375474465,0.195542307,1.285241043,1.160145154,5.12E-07,1.687108556,0.003269649,0,0
NGEF,4.641075738,0.00845992,0.654308085,0.175138345,NA,2.997281072,1.08E-12,0.922350743,0.027833983,0,0
NHS,4.007830047,0.024240177,-0.292544706,0.562020857,NA,2.079459849,2.01E-17,1.168571975,0.013055491,0,0
NID2,6.077920417,1.38E-12,-0.02359445,0.958161454,0.309610773,1.501983725,1.15E-12,1.439292593,0.111232116,0,0
NME7,1.728507307,0.0014857,0.64115537,0.042962815,0.182847773,0.219608774,0.08542582,0.475560129,0.27833567,0,0
NMNAT2,5.823524352,4.28E-08,1.074751458,0.029494555,1.850826401,1.540789563,9.38E-09,0.36128535,0.274343008,0,0
NNMT,3.582814442,0.037635886,1.146249706,0.013713916,1.262268065,0.491241525,0.116618197,1.263132805,0.228218053,0,0
NR2F1-AS1,3.256336997,0.012524734,0.367641547,0.624622243,NA,NA,NA,0.999933097,0.044341303,0,0
NTNG1,7.005769627,2.53E-16,-1.36313403,0.000689397,0.258165325,0.597894824,0.24534432,0.231708551,0.32385345,0,0
NUAK2,3.218447802,0.002214688,-0.423121708,0.455911231,NA,0.004345158,0.990641015,NA,NA,0,0
OAS2,5.854399739,1.24E-06,-0.067805548,0.871482323,0.180785679,-0.584436146,0.032301313,0.374547134,0.565859197,0,0
ODF2,1.285776918,0.018942906,-0.068310352,0.883690911,-0.100151396,-0.00562224,0.971297366,0.077641642,0.9002151,0,0
OSMR,3.094885632,0.048911035,-0.928958955,0.000753397,1.464291231,1.403375574,4.10E-07,0.644118723,0.410997892,0,0
PAPPA,6.957257228,6.52E-10,-0.553954111,0.085412983,0.697994472,2.549368038,2.50E-17,1.148967043,0.011847713,0,0
PARM1,6.572283377,1.03E-07,0.283772088,0.717870417,-0.022135156,0.991971127,0.000124054,0.567157619,0.279131562,0,0
PBX1,6.372770278,2.45E-06,-0.004536037,0.993798193,-1.428277991,1.183506301,0.000145139,0.470154906,0.277982277,0,0
PCDHB3,3.583549811,0.045901839,-0.210830981,0.826446337,-0.666574197,0.520726936,0.193519491,-0.041297394,0.967314928,0,0
PCOLCE,3.796223989,0.000254509,0.632158832,0.00317524,-0.41534702,1.782416539,4.75E-09,0.945195496,0.50979228,0,0
PCSK1,3.83391479,0.055561959,-0.046394558,0.958824711,-0.6588569,1.80428888,8.27E-06,-0.058111017,0.962905976,0,0
PDE1C,6.191182478,2.43E-06,0.211586959,0.744341585,1.991215823,1.578218062,2.00E-05,1.311798041,0.113274619,0,0
PDLIM5,1.535219283,0.004533351,0.377402781,0.100201796,-0.028434838,0.543434396,6.81E-05,0.187400367,0.501703547,0,0
PDZD2,3.391076787,0.017177921,-0.87593002,0.022827607,-0.79000717,1.718472649,7.51E-08,0.166240861,0.70432219,0,0
PEX5L,2.87943986,0.034921377,-0.463329859,0.641762903,0,0.542799389,0.255722248,0.330405938,0.488735306,0,0
PIP5KL1,3.28631015,0.005510124,0.193592522,0.710288854,NA,0.901782883,0.000696983,0.09232464,0.51511019,0,0
PITX1,5.722980735,4.81E-05,0.505865545,0.323243214,0,1.199911235,0.013877961,0.375781073,0.186803491,0,0
PLCB3,1.64835744,9.59E-05,-0.082216904,0.846594189,0.26747224,0.157623312,0.253495626,0.382059865,0.138040987,0,0
PLEKHN1,2.537150824,0.069133297,0.130699586,0.830383718,NA,1.230408721,0.000354131,0.071794979,0.808559214,0,0
PLK2,1.639758936,0.013892437,-0.001265317,0.99874916,2.535336298,0.545812456,0.003725206,0.992721328,0.235757485,0,0
POU2F2,5.982393986,5.60E-11,-0.041749837,0.928137032,0.011695895,0.283850517,0.42137918,0.29623126,0.193144135,0,0
PPP1R13L,2.821416636,0.004633574,0.116083819,0.742136,1.039658943,1.250909389,3.39E-07,0.380459564,0.294973962,0,0
PPP1R14B,1.041647018,0.072896757,-1.072961155,3.54E-05,0.605505301,-0.159679572,0.371697004,0.225053233,0.627841317,0,0
PPP4R1,1.160903449,0.040164914,-0.401230345,0.01798525,0.528029409,0.204239698,0.064803904,0.334314325,0.246178216,0,0
PRDM1,3.500290861,0.021346435,0.81150989,0.002229267,-0.081380652,0.831529544,0.001312,0.548647841,0.091125285,0,0
PRDM8,5.693249523,4.50E-06,0.125746422,0.849228745,0,1.474759486,8.29E-07,-0.020475874,0.852062546,0,0
PSMA6,1.881843483,0.064856319,0.197100112,0.568870964,NA,-0.146998208,0.11765511,NA,NA,0,0
PTGFR,7.892075987,6.31E-14,0.101208471,0.901848496,0,1.405338721,1.77E-05,0.954088447,0.073011507,0,0
PTN,3.710871197,0.053825227,NA,NA,-1.854319647,2.635185766,5.61E-13,1.517295933,0.089568549,0,0
PTPRF,2.214699397,0.088439419,-1.059347368,0.042914507,0.597225933,0.79128392,0.002923176,1.345874736,0.005030591,0,0
PTPRN,5.11129774,0.000950945,0.606706382,0.059758715,0,1.38639649,0.001220551,0.09721993,0.705481532,0,0
PVRL3,2.051096654,0.05439404,-1.508273361,6.65E-15,1.152282023,1.658358494,1.85E-08,1.201494637,0.010104634,0,0
QSOX1,2.474779407,0.003144855,-0.320813436,0.166578121,2.121215001,0.26765871,0.105736291,0.473834083,0.119976685,0,0
RAB23,1.754740128,0.008431369,0.474532351,0.016529033,0.271944631,0.317550964,0.050498611,0.193723085,0.624967237,0,0
RAB27B,6.586954118,7.04E-10,-0.948604043,0.000643477,0.196983813,1.755669102,0.000116375,0.659133125,0.24978522,0,0
RAPH1,1.641740069,0.002066526,-0.462825242,0.150082109,NA,0.354300926,0.010753108,0.688655735,0.019623623,0,0
RASA1,2.312680243,1.31E-10,-0.973485812,5.43E-05,-0.234016496,0.767823326,1.55E-07,0.744151791,0.010868712,0,0
RASA3,1.661378843,0.036121439,-0.585071918,0.052868049,1.036552803,0.112997975,0.464597363,0.051762505,0.926522542,0,0
RASGRF2,5.413468609,8.62E-09,-1.141579953,0.008939334,NA,1.148855008,8.32E-08,0.230340056,0.376803131,0,0
